Grado,Feature,Importance
G1,gestion,74
G1,ges_dep,157
G1,area_censo,67
G1,region_nat,297
G1,tipssexo,34
G1,cod_tur,161
G1,vraem,47
G1,zfrontera,54
G1,matricula_g1,1054
G1,matricula_g2,1055
G1,matricula_g3,890
G1,matricula_g4,910
G1,matricula_g5,919
G1,secciones_g1,64
G1,secciones_g2,48
G1,secciones_g3,40
G1,secciones_g4,39
G1,secciones_g5,51
G1,ratio_g1,826
G1,ratio_g2,857
G1,ratio_g3,773
G1,ratio_g4,682
G1,ratio_g5,722
G1,total_docentes,792
G1,pct_docentes_femenino,1155
G1,pct_contrato_permanente,755
G1,pct_titulados,761
G1,retiro_lag_g1,329
G1,retiro_lag_g2,376
G1,retiro_lag_g3,335
G1,retiro_lag_g4,352
G1,retiro_lag_g5,324
G2,gestion,41
G2,ges_dep,192
G2,area_censo,64
G2,region_nat,268
G2,tipssexo,29
G2,cod_tur,185
G2,vraem,52
G2,zfrontera,79
G2,matricula_g1,1115
G2,matricula_g2,993
G2,matricula_g3,963
G2,matricula_g4,914
G2,matricula_g5,941
G2,secciones_g1,61
G2,secciones_g2,46
G2,secciones_g3,27
G2,secciones_g4,20
G2,secciones_g5,35
G2,ratio_g1,800
G2,ratio_g2,723
G2,ratio_g3,864
G2,ratio_g4,680
G2,ratio_g5,660
G2,total_docentes,784
G2,pct_docentes_femenino,1255
G2,pct_contrato_permanente,820
G2,pct_titulados,744
G2,retiro_lag_g1,334
G2,retiro_lag_g2,316
G2,retiro_lag_g3,256
G2,retiro_lag_g4,417
G2,retiro_lag_g5,322
G3,gestion,29
G3,ges_dep,148
G3,area_censo,29
G3,region_nat,323
G3,tipssexo,21
G3,cod_tur,176
G3,vraem,28
G3,zfrontera,50
G3,matricula_g1,1030
G3,matricula_g2,914
G3,matricula_g3,945
G3,matricula_g4,797
G3,matricula_g5,968
G3,secciones_g1,44
G3,secciones_g2,42
G3,secciones_g3,18
G3,secciones_g4,45
G3,secciones_g5,35
G3,ratio_g1,860
G3,ratio_g2,838
G3,ratio_g3,864
G3,ratio_g4,707
G3,ratio_g5,798
G3,total_docentes,759
G3,pct_docentes_femenino,1326
G3,pct_contrato_permanente,859
G3,pct_titulados,749
G3,retiro_lag_g1,319
G3,retiro_lag_g2,335
G3,retiro_lag_g3,294
G3,retiro_lag_g4,362
G3,retiro_lag_g5,288
G4,gestion,29
G4,ges_dep,154
G4,area_censo,79
G4,region_nat,289
G4,tipssexo,40
G4,cod_tur,159
G4,vraem,35
G4,zfrontera,64
G4,matricula_g1,1007
G4,matricula_g2,992
G4,matricula_g3,932
G4,matricula_g4,852
G4,matricula_g5,994
G4,secciones_g1,43
G4,secciones_g2,35
G4,secciones_g3,55
G4,secciones_g4,45
G4,secciones_g5,30
G4,ratio_g1,806
G4,ratio_g2,843
G4,ratio_g3,895
G4,ratio_g4,742
G4,ratio_g5,779
G4,total_docentes,666
G4,pct_docentes_femenino,1202
G4,pct_contrato_permanente,868
G4,pct_titulados,795
G4,retiro_lag_g1,243
G4,retiro_lag_g2,303
G4,retiro_lag_g3,324
G4,retiro_lag_g4,374
G4,retiro_lag_g5,326
G5,gestion,63
G5,ges_dep,111
G5,area_censo,94
G5,region_nat,256
G5,tipssexo,33
G5,cod_tur,167
G5,vraem,40
G5,zfrontera,46
G5,matricula_g1,1116
G5,matricula_g2,1083
G5,matricula_g3,951
G5,matricula_g4,1000
G5,matricula_g5,1028
G5,secciones_g1,44
G5,secciones_g2,60
G5,secciones_g3,36
G5,secciones_g4,44
G5,secciones_g5,61
G5,ratio_g1,733
G5,ratio_g2,761
G5,ratio_g3,763
G5,ratio_g4,687
G5,ratio_g5,716
G5,total_docentes,760
G5,pct_docentes_femenino,1093
G5,pct_contrato_permanente,850
G5,pct_titulados,781
G5,retiro_lag_g1,212
G5,retiro_lag_g2,322
G5,retiro_lag_g3,364
G5,retiro_lag_g4,379
G5,retiro_lag_g5,346
